[2025-11-30 17:07:42] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"qf70renck5h9q8aoc9pvo066s4"}
[2025-12-01 00:13:28] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:20:44] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:20:54] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:21:03] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:21:15] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:21:55] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:22:20] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:24:41] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:24:46] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:24:48] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:24:55] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:28:08] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:32:51] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:34:25] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:34:29] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
